rank,player_name,team_short,position_group,matches,score_overall,silo__Pace,silo__Physical,silo__Passing,silo__Creation,silo__Movement,silo__Shooting,silo__Defending,silo__Dribbling
113,Lachlan Jackson,Melbourne Victory,Central Defender,9,44.2,68.4,34.5,54.5,52.0,19.3,30.6,38.9,48.6
114,Zach Clough,Adelaide United,Wide Attacker,19,43.4,27.1,48.0,50.3,63.4,33.5,52.4,79.3,26.8
115,Joshua Rawlins,Melbourne Victory,Full Back,12,42.8,45.2,37.0,54.9,50.5,19.1,79.4,23.5,64.7
116,Jay Barnett,Adelaide United,Midfield,19,42.7,52.6,61.1,56.0,28.1,19.1,25.0,54.3,34.8
117,Hosine Bility,Brisbane Roar,Central Defender,21,42.5,75.9,54.1,36.2,28.6,33.7,30.6,30.6,48.6
118,Ivan Vujica,Macarthur,Full Back,18,42.1,16.1,23.6,44.5,67.5,63.9,57.4,57.4,26.5
119,Florin Bérenguer,Brisbane Roar,Center Forward,6,41.6,17.0,29.3,69.2,75.9,33.3,13.0,53.7,81.5
120,Jacob  Brazete,Brisbane Roar,Wide Attacker,4,41.2,30.8,15.8,37.2,26.4,12.4,70.7,23.2,84.1
120,Adam Zimarino,Brisbane Roar,Center Forward,3,41.2,7.9,27.7,66.2,46.6,28.3,63.0,66.7,33.3
120,Reno Piscopo,Melbourne Victory,Wide Attacker,10,41.2,31.9,41.4,44.9,63.0,71.1,19.5,11.0,26.8
123,Isaías Sánchez Cortés,Adelaide United,Midfield,4,40.8,70.1,62.7,33.3,45.0,14.9,59.8,29.3,34.8
124,Medin Memeti,Melbourne City,Center Forward,7,40.6,53.9,56.4,70.8,43.5,38.6,13.0,79.6,33.3
125,Lukas Kelly-Heald,Wellington,Midfield,4,40.5,50.4,64.1,63.5,18.8,39.0,25.0,23.9,34.8
126,Callum Talbot,Melbourne City,Full Back,14,40.1,19.7,56.8,33.7,42.7,47.2,79.4,13.2,64.7
127,Trent Ostler,Perth Glory,Wide Attacker,14,39.8,61.3,74.1,53.4,37.3,35.4,19.5,37.8,26.8
128,Kavian Rahmani,Melbourne City,Wide Attacker,5,39.6,7.7,30.9,61.7,53.8,43.6,70.7,15.9,26.8
129,Harry Van Der Saag,Brisbane Roar,Full Back,6,39.4,12.6,18.2,21.2,29.1,55.2,57.4,73.5,64.7
130,Thomas Waddingham,Brisbane Roar,Center Forward,10,38.3,33.9,61.0,53.6,48.0,46.2,13.0,40.7,33.3
131,Scott Wootton,Wellington,Central Defender,25,37.9,8.8,6.8,68.3,58.6,28.9,30.6,44.4,48.6
132,Abel Walatee,Western United,Wide Attacker,9,37.4,33.8,21.1,12.9,51.7,48.3,52.4,23.2,26.8
133,Zachary de Jesus,Sydney FC,Full Back,7,36.9,53.8,55.7,39.4,26.5,32.3,57.4,13.2,26.5
134,Luka Jovanovic,Adelaide United,Center Forward,7,36.5,39.9,39.6,42.5,35.9,44.2,31.5,7.4,33.3
135,Jack Hingert,Brisbane Roar,Full Back,10,36.2,23.1,38.9,50.4,31.4,49.1,57.4,2.9,64.7
136,Tomislav Mrčela,Perth Glory,Central Defender,19,35.9,17.0,33.2,19.8,52.1,59.6,30.6,48.6,48.6
137,Marlee Francois,Auckland,Wide Attacker,6,35.1,40.8,38.2,26.1,15.6,39.3,52.4,46.3,26.8
138,Max Mata,Auckland,Center Forward,7,35.0,24.8,27.7,36.0,33.0,36.6,44.4,33.3,33.3
139,Wataru Kamijo,Sydney FC,Midfield,4,34.7,35.7,37.4,17.3,37.9,6.0,25.0,77.2,34.8
139,Bruno Fornaroli Mezza,Melbourne Victory,Center Forward,9,34.7,28.4,26.6,74.4,39.2,54.8,13.0,14.8,33.3
141,Benjamin Mazzeo,Melbourne City,Wide Attacker,5,34.3,69.4,80.0,18.3,15.3,23.3,19.5,51.2,26.8
142,Zane William Schreiber,Melbourne City,Midfield,10,34.2,16.4,36.8,33.5,42.0,27.3,25.0,43.5,34.8
142,Thomas Aquilina,Newcastle Jets,Wide Attacker,13,34.2,25.7,73.5,46.9,30.0,32.5,19.5,65.9,26.8
144,Callan Elliot,Auckland,Full Back,6,33.7,33.7,23.2,15.9,45.0,11.5,22.1,32.4,82.4
145,Lachlan Bayliss,Newcastle Jets,Midfield,17,33.6,33.8,28.3,30.2,38.3,48.1,25.0,29.3,34.8
146,Ben Warland,Brisbane Roar,Central Defender,7,32.1,19.3,68.4,17.2,72.0,56.6,30.6,4.2,48.6
147,Haine Anthony Eames,Central Coast,Midfield,10,31.8,32.9,59.7,30.2,20.1,53.7,25.0,8.7,34.8
148,Alou Kuol,Central Coast,Center Forward,18,31.2,73.2,35.4,18.2,13.4,23.7,31.5,18.5,33.3
149,Matthew Jurman,Macarthur,Central Defender,10,29.1,20.1,12.7,31.7,66.3,40.6,30.6,30.6,48.6
150,Chris Ikonomidis,Macarthur,Center Forward,5,27.4,29.6,43.6,23.7,34.1,26.0,13.0,29.6,33.3
151,Liam Rose,Macarthur,Midfield,10,26.9,52.1,4.6,40.5,23.9,15.1,25.0,20.7,34.8
152,Tommy Smith,Auckland,Central Defender,12,26.4,56.0,31.8,17.2,40.0,46.8,30.6,8.3,48.6
153,William  Freney,Perth Glory,Midfield,4,26.2,47.9,57.6,12.9,28.6,22.2,25.0,3.3,34.8
154,Christian Theoharous,Central Coast,Wide Attacker,10,26.0,22.3,6.4,69.5,35.4,9.9,19.5,46.3,26.8
155,Kévin Boli,Macarthur,Central Defender,8,18.5,31.9,15.5,17.7,30.3,36.0,30.6,4.2,48.6
