rank,rank_in_position,player_name,team_short,position_group,matches,minutes,score_overall,silo__Pace,silo__Physical,silo__Passing,silo__Creation,silo__Movement
87,22,Joel Bruce King,Sydney FC,Full Back,9,94.1,55.1,31.4,73.1,59.0,59.2,54.5
89,18,Jarrod Carluccio,Perth Glory,Wide Attacker,3,92.2,54.9,39.6,87.3,65.0,55.0,50.1
90,14,Nikolaos Vergos,Melbourne Victory,Center Forward,19,77.2,54.8,47.1,30.9,64.6,69.7,58.1
91,19,Kosta Grozos,Newcastle Jets,Central Defender,16,99.3,54.4,34.8,28.2,88.1,62.7,47.8
91,19,Clarismario Santos Rodrigues,Melbourne Victory,Wide Attacker,9,87.3,54.4,95.3,54.8,39.8,36.3,41.9
93,19,Callum Timmins,Newcastle Jets,Midfield,22,95.1,54.3,36.0,68.6,61.7,39.2,59.7
94,20,Trent Sainsbury,Central Coast,Central Defender,13,90.8,54.1,69.5,46.6,54.4,63.1,50.9
94,20,Luis David Cangá Sánchez,Perth Glory,Central Defender,6,97.4,54.1,70.1,35.3,77.5,32.5,20.2
96,22,Lachlan Barr,Perth Glory,Central Defender,6,97.4,53.9,66.7,65.5,45.5,41.1,25.3
96,20,Bozhidar Kraev,WS Wanderers,Wide Attacker,23,88.5,53.9,35.4,64.0,68.2,54.6,58.5
98,23,Tae-Wook Jeong,WS Wanderers,Central Defender,5,99.4,53.8,32.9,51.1,71.7,31.0,41.6
98,21,Yonatan Cohen,Melbourne City,Wide Attacker,13,86.4,53.8,44.2,43.0,59.7,71.9,48.8
100,20,Ryan Graham Pun Teague,Melbourne Victory,Midfield,27,98.4,53.5,71.7,42.6,58.1,66.8,27.0
101,22,Reno Piscopo,Melbourne Victory,Wide Attacker,10,73.4,53.4,31.9,41.4,44.9,63.0,71.1
101,21,Oscar James Moncrieff Priestman,WS Wanderers,Midfield,20,91.2,53.4,50.7,42.4,70.3,57.9,31.9
101,24,Roderick Jefferson Gonçalves Miranda,Melbourne Victory,Central Defender,28,96.1,53.4,64.4,43.9,53.2,75.3,58.3
104,23,Aziz Eraltay Behich,Melbourne City,Full Back,25,98.8,53.1,58.8,36.3,76.3,57.8,40.3
105,22,Luke Amos,Perth Glory,Midfield,7,70.3,52.7,56.8,53.2,75.2,40.5,28.2
106,25,Isaac Hughes,Wellington,Central Defender,24,95.6,52.3,73.7,50.0,43.7,52.5,63.4
107,23,Leonardo de Souza Sena,Sydney FC,Midfield,18,93.2,51.9,32.2,18.9,75.4,80.4,20.6
108,15,Asumah Abubakar-Ankra,Brisbane Roar,Center Forward,8,89.5,51.5,56.0,43.1,69.5,61.4,38.6
108,23,Clayton Taylor,Newcastle Jets,Wide Attacker,17,86.8,51.5,58.2,76.1,13.1,40.1,60.8
110,24,Walid Shour,Brisbane Roar,Midfield,5,82.2,51.4,72.3,67.9,30.9,71.6,28.3
111,24,Yaya Dukuly,Adelaide United,Wide Attacker,4,81.2,51.1,82.2,38.8,68.7,48.0,26.6
112,26,Panagiotis Kikianis,Adelaide United,Central Defender,23,97.3,50.9,27.2,42.0,65.6,76.3,44.4
113,25,Paulo Retre,Wellington,Midfield,14,84.6,50.8,29.1,48.7,70.0,44.8,43.4
114,26,Stefan Mauk,Adelaide United,Midfield,21,83.4,50.7,80.6,51.2,15.2,61.1,75.8
115,27,Matthew Sheridan,Wellington,Central Defender,9,91.3,50.6,49.9,58.9,38.8,40.9,79.2
115,24,Antonee Alan Burke-Gilroy,Brisbane Roar,Full Back,20,90.5,50.6,62.5,47.2,72.4,41.4,26.6
117,25,Neyder Stiven Moreno Betancur,Auckland,Wide Attacker,7,72.3,49.8,54.4,42.0,50.1,54.1,45.5
118,25,Storm  Roux,Central Coast,Full Back,14,91.3,49.7,36.4,24.5,60.6,77.8,61.7
118,16,Valère Germain,Macarthur,Center Forward,16,96.7,49.7,30.5,23.7,72.7,85.5,38.9
120,17,Archie Goodwin,Adelaide United,Center Forward,16,78.6,49.6,77.2,48.9,21.8,23.3,65.7
121,18,Medin Memeti,Melbourne City,Center Forward,7,85.7,49.4,53.9,56.4,70.8,43.5,38.6
122,26,Ben Folami,Adelaide United,Wide Attacker,10,74.6,49.2,53.2,23.9,22.6,46.7,68.8
123,27,Henry Hore,Brisbane Roar,Wide Attacker,5,83.9,49.1,6.2,55.9,77.9,52.8,66.0
124,26,Adama Traoré,Melbourne Victory,Full Back,6,89.0,49.0,44.7,10.1,90.8,69.7,43.8
125,27,Dylan Scicluna,WS Wanderers,Midfield,7,95.6,48.7,72.0,35.7,45.9,64.2,30.1
125,27,Luke Brattan,Macarthur,Midfield,26,97.1,48.7,42.6,37.1,55.5,72.3,21.5
125,27,Mathew Leckie,Melbourne City,Midfield,6,89.5,48.7,96.7,54.9,9.4,55.2,67.6
128,28,Trent Ostler,Perth Glory,Wide Attacker,14,87.0,48.6,61.3,74.1,53.4,37.3,35.4
129,29,Ben Halloran,Brisbane Roar,Wide Attacker,14,82.0,48.5,61.1,45.6,70.6,45.8,32.9
130,19,Marcus Antonsson,WS Wanderers,Center Forward,3,71.7,48.4,53.5,33.5,35.4,25.6,77.9
131,30,Louis Verstraete,Auckland,Midfield,21,93.2,48.1,43.7,70.1,44.1,45.1,39.9
132,31,Samuel Klein,Brisbane Roar,Midfield,15,96.6,48.0,57.2,75.8,27.9,23.7,80.3
133,20,Thomas Waddingham,Brisbane Roar,Center Forward,10,92.5,47.9,33.9,61.0,53.6,48.0,46.2
133,28,Tass Mourdoukoutas,Perth Glory,Central Defender,7,96.3,47.9,38.1,73.6,23.8,36.1,71.4
135,29,Daniel Hall,Auckland,Central Defender,15,98.9,47.8,81.3,37.3,52.6,27.2,30.2
135,21,Max Caputo,Melbourne City,Center Forward,14,80.0,47.8,31.2,43.9,53.9,50.6,55.6
137,30,Hosine Bility,Brisbane Roar,Central Defender,21,97.0,47.6,75.9,54.1,36.2,28.6,33.7
138,31,Oliver Jones,Macarthur,Central Defender,8,98.4,47.5,37.1,52.5,46.7,41.1,54.2
139,30,Nikola Mileusnić,Perth Glory,Wide Attacker,7,73.6,47.3,88.0,68.3,8.6,23.8,40.7
140,32,Lukas Kelly-Heald,Wellington,Midfield,4,86.0,47.2,50.4,64.1,63.5,18.8,39.0
141,32,Lachlan Jackson,Melbourne Victory,Central Defender,9,96.5,46.7,68.4,34.5,54.5,52.0,19.3
142,33,Adriano Lebib,Perth Glory,Central Defender,7,99.0,46.4,84.0,61.8,12.4,51.9,58.4
143,33,Corey Hollman,Sydney FC,Midfield,9,96.0,45.5,47.8,54.5,62.8,33.3,22.6
144,31,Matthew Grimaldi,Western United,Wide Attacker,16,76.6,45.4,26.7,66.4,27.0,45.5,59.1
145,27,Josh Risdon,Perth Glory,Full Back,15,93.1,45.2,40.0,32.3,34.2,76.4,49.1
145,34,Alfie McCalmont,Central Coast,Midfield,18,98.1,45.2,27.2,44.3,53.2,50.1,38.4
147,35,Harrison Steele,Central Coast,Midfield,23,93.6,44.9,31.3,57.6,54.4,34.2,39.4
